# City name -> IANA time zone, sorted by name for binary search.
# Generated by scripts/cities.py from GeoNames cities15000 (https://www.geonames.org),
# licensed under CC BY 4.0. Do not edit by hand.
'abasan al kabirah	Asia/Gaza
abbey wood	Europe/London
abbiategrasso	Europe/Rome
abbotsford	America/Vancouver
abbottabad	Asia/Karachi
abdanan	Asia/Tehran
abderafi	Africa/Addis_Ababa
abdjan	Africa/Abidjan
abdu rahiman nagar	Asia/Kolkata
abdulino	Asia/Yekaterinburg
abe okuta	Africa/Lagos
abe'okuta	Africa/Lagos
abeche	Africa/Ndjamena
abejorral	America/Bogota
abelardo luz	America/Sao_Paulo
abengourou	Africa/Abidjan
abeokuta	Africa/Lagos
abepura	Asia/Jayapura
aberdare	Europe/London
aberdeen	Europe/London
aberystwyth	Europe/London
abha	Asia/Riyadh
abhar	Asia/Tehran
abhayapuri	Asia/Kolkata
abhayāpuri	Asia/Kolkata
abican	Africa/Abidjan
abidajana	Africa/Abidjan
abidjan	Africa/Abidjan
abidzan	Africa/Abidjan
abidzana	Africa/Abidjan
abidzanas	Africa/Abidjan
abidzans	Africa/Abidjan
abidzhan	Africa/Abidjan
abidzhan shaary	Africa/Abidjan
abigano	Africa/Abidjan
abijan	Africa/Abidjan
abijana	Africa/Abidjan
abijang	Africa/Abidjan
abijani	Africa/Abidjan
abiko	Asia/Tokyo
abilene	America/Chicago
abim	Africa/Kampala
abingdon	Europe/London
abington	America/New_York
abinsk	Europe/Moscow
abiy adi	Africa/Addis_Ababa
abiyan	Africa/Abidjan
abizhan khot	Africa/Abidjan
abnub	Africa/Cairo
abnūb	Africa/Cairo
abobo	Africa/Abidjan
abobo gare	Africa/Abidjan
abodza	Africa/Lagos
aboe dhabi	Asia/Dubai
abohar	Asia/Kolkata
aboisso	Africa/Abidjan
aboisso comoe	Africa/Abidjan
aboisso comoé	Africa/Abidjan
aboka	Africa/Abidjan
abomey	Africa/Porto-Novo
abomey calavi	Africa/Porto-Novo
abomsa	Africa/Addis_Ababa
abong mbang	Africa/Douala
abony	Europe/Budapest
abou dabi	Asia/Dubai
abou el hassan	Africa/Algiers
abou ghraib	Asia/Baghdad
abouja	Africa/Lagos
abovyan	Asia/Yerevan
abqaiq	Asia/Riyadh
abrama	Asia/Kolkata
abrantes	Europe/Madrid
abreu e lima	America/Recife
abreus	America/Havana
abrisham	Asia/Tehran
abrīsham	Asia/Tehran
abu	Asia/Kolkata
abu 'arish	Asia/Riyadh
abu al kahsib	Asia/Baghdad
